,id,section,round,temperature,humidity,attendance,capacity_y,is_next_day_holiday,is_this_day_holiday,kick_off_time_is_night,x,y,屋,晴,曇,雨,home_team_encoded,away_team_encoded
0,9190,1,1,8.3,40.0,20916.0,21000,0,0,1,34.812466,135.540421,0,1,0,0,2,20
1,9191,1,2,12.9,28.0,14277.0,15859,0,0,0,35.62075,138.588425,0,1,0,0,23,21
2,9192,1,2,12.1,35.0,22531.0,48999,0,0,0,35.66367,139.5289,0,1,0,0,1,7
3,9193,1,2,11.6,42.0,28564.0,51697,0,0,0,34.744198,137.969711,0,1,0,0,24,26
4,9194,1,2,13.1,32.0,17199.0,20223,0,0,0,35.124908,136.941589,0,1,0,0,6,0
5,9195,1,2,12.6,33.0,13085.0,62010,0,0,0,35.902477,139.713974,0,1,0,0,8,5
6,9196,1,2,13.3,34.0,17444.0,26827,0,0,0,35.586826,139.648911,0,1,0,0,10,13
7,9197,1,2,12.4,58.0,17564.0,36894,0,0,0,34.439636,132.394974,0,0,1,0,11,29
8,9198,1,2,12.6,34.0,23607.0,72081,0,0,0,35.51012,139.606674,0,1,0,0,19,3
9,9199,2,1,16.0,48.0,56512.0,62010,0,0,0,35.902477,139.713974,0,1,0,0,20,24
10,9200,2,1,15.3,51.0,11896.0,19470,0,0,0,35.574673,140.12413,0,1,0,0,5,23
11,9201,2,1,15.4,43.0,40266.0,41684,0,0,0,37.882988,139.059891,0,0,1,0,13,1
12,9202,2,1,13.6,70.0,13054.0,20248,0,0,0,34.984898,138.482101,0,0,1,0,21,6
13,9203,2,1,13.8,66.0,22454.0,37496,0,0,1,35.989033,140.64299,0,1,0,0,29,19
14,9204,2,1,16.4,50.0,7921.0,20588,0,0,1,34.993237,135.714676,0,1,0,0,3,10
15,9205,2,1,15.4,66.0,12040.0,22331,0,0,1,33.586304,130.461426,0,0,1,0,26,8
16,9206,2,2,9.4,54.0,17043.0,31997,0,0,0,33.201115,131.656387,1,0,0,0,7,11
17,9207,2,2,10.6,67.0,30561.0,47853,0,0,0,34.616272,135.516663,0,0,1,0,0,2
18,9208,3,1,14.8,44.0,19011.0,48999,0,0,0,35.66367,139.5289,0,0,1,0,1,21
19,9209,3,1,11.6,80.0,10560.0,15165,0,0,0,34.723106,137.877701,0,0,0,1,24,3
20,9210,3,1,8.4,87.0,16742.0,36894,0,0,0,34.439636,132.394974,0,0,0,1,11,20
21,9211,3,1,15.3,46.0,9368.0,62010,0,0,0,35.902477,139.713974,0,0,1,0,8,13
22,9212,3,1,14.7,39.0,9082.0,15859,0,0,0,35.62075,138.588425,0,0,1,0,23,10
23,9213,3,1,10.3,73.0,22651.0,41255,0,0,0,35.084568,137.171265,1,0,0,0,6,29
24,9214,3,1,13.9,58.0,8567.0,19470,0,0,1,35.574673,140.12413,0,0,1,0,5,26
25,9215,3,1,12.3,76.0,19307.0,72081,0,0,1,35.51012,139.606674,0,0,0,1,19,0
26,9216,3,1,9.0,79.0,8388.0,21000,0,0,1,34.812466,135.540421,0,0,0,1,2,7
