ID,種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,間取り,面積（㎡）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時点,改装,取引の事情等,取引価格（総額）_log
7037873,中古マンション等,,7203,福島県,郡山市,麓山,郡山(福島),19,１Ｋ,20,,,,平成4年,ＲＣ,住宅,,,,,商業地域,80.0,400.0,2012年第2四半期,改装済,,6.3979400086720375
7061627,中古マンション等,,7204,福島県,いわき市,平,いわき,16,３ＬＤＫ,75,,,,平成15年,ＳＲＣ,住宅,,,,,商業地域,80.0,400.0,2009年第4四半期,未改装,,7.301029995663981
7035825,中古マンション等,,7201,福島県,福島市,野田町,福島(福島),13,４ＬＤＫ,80,,,,平成20年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2009年第3四半期,未改装,,7.544068044350276
7006716,中古マンション等,,7203,福島県,郡山市,池ノ台,郡山(福島),23,３ＬＤＫ,70,,,,平成17年,ＳＲＣ,住宅,住宅,,,,第２種住居地域,60.0,200.0,2021年第3四半期,未改装,,7.342422680822207
7004718,中古マンション等,,7202,福島県,会津若松市,新横町,会津若松,30分?60分,２ＬＤＫ,55,,,,平成15年,ＲＣ,住宅,その他,,,,第２種住居地域,60.0,200.0,2019年第3四半期,未改装,調停・競売等,6.9084850188786495
7004830,中古マンション等,,7202,福島県,会津若松市,中央,会津若松,8,２ＤＫ,45,,,,平成3年,ＳＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2018年第2四半期,未改装,,6.982271233039568
7009843,中古マンション等,,7203,福島県,郡山市,長者,郡山(福島),23,３ＬＤＫ,70,,,,平成10年,ＳＲＣ,住宅,住宅,,,,近隣商業地域,80.0,300.0,2017年第1四半期,未改装,,7.2552725051033065
7017772,中古マンション等,,7203,福島県,郡山市,愛宕町,郡山(福島),24,４ＬＤＫ,80,,,,平成2年,ＲＣ,住宅,住宅,,,,第１種住居地域,60.0,200.0,2016年第1四半期,未改装,,7.113943352306837
7019599,中古マンション等,,7203,福島県,郡山市,並木,郡山(福島),30分?60分,３ＬＤＫ,70,,,,平成21年,ＲＣ,住宅,住宅,,,,近隣商業地域,80.0,300.0,2014年第2四半期,改装済,,7.342422680822207
7023943,中古マンション等,,7203,福島県,郡山市,芳賀,郡山(福島),23,３ＬＤＫ,65,,,,平成18年,ＲＣ,住宅,住宅,,,,第１種住居地域,60.0,200.0,2015年第4四半期,未改装,,7.204119982655925
7022638,中古マンション等,,7203,福島県,郡山市,池ノ台,郡山(福島),29,３ＬＤＫ,70,,,,平成17年,ＳＲＣ,住宅,,,,,第２種住居地域,60.0,200.0,2011年第3四半期,未改装,,7.2552725051033065
7012359,中古マンション等,,7203,福島県,郡山市,方八町,郡山(福島),14,４ＬＤＫ,65,,,,平成2年,ＲＣ,住宅,住宅,,,,工業地域,60.0,200.0,2022年第1四半期,未改装,,7.079181246047625
7041222,中古マンション等,,7203,福島県,郡山市,富久山町八山田,郡山(福島),30分?60分,３ＬＤＫ,60,,,,平成4年,ＲＣ,住宅,,,,,第２種住居地域,60.0,200.0,2013年第3四半期,改装済,,6.919078092376074
7026311,中古マンション等,,7203,福島県,郡山市,若葉町,郡山(福島),19,３ＬＤＫ,75,,,,平成20年,ＲＣ,住宅,住宅,,,,第２種住居地域,60.0,200.0,2016年第1四半期,改装済,,7.447158031342219
