ID,種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,間取り,面積（㎡）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時点,改装,取引の事情等,取引価格（総額）_log
6010437,中古マンション等,,6201,山形県,山形市,高堂,山形,29,３ＬＤＫ,75,,,,平成21年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2011年第1四半期,未改装,,7.278753600952829
6012342,中古マンション等,,6201,山形県,山形市,馬見ケ崎,北山形,30分?60分,２ＬＤＫ,80,,,,平成17年,ＲＣ,住宅,,,,,準工業地域,60.0,200.0,2011年第2四半期,改装済,,7.2552725051033065
6007160,中古マンション等,,6201,山形県,山形市,双葉町,山形,7,３ＬＤＫ,70,,,,平成21年,ＲＣ,住宅,,,,,商業地域,80.0,600.0,2010年第4四半期,未改装,,7.447158031342219
6004953,中古マンション等,,6201,山形県,山形市,銅町,北山形,21,４ＬＤＫ,75,,,,平成12年,ＲＣ,住宅,住宅,,,,第１種住居地域,60.0,200.0,2014年第2四半期,未改装,,7.0
6016913,中古マンション等,,6203,山形県,鶴岡市,上畑町,鶴岡,14,３ＬＤＫ,70,,,,平成15年,ＳＲＣ,住宅,,,,,第２種住居地域,60.0,200.0,2011年第4四半期,未改装,,7.079181246047625
6027915,中古マンション等,,6201,山形県,山形市,桜田東,蔵王,30分?60分,２ＬＤＫ,55,,,,昭和55年,ＳＲＣ,住宅,,,,,準工業地域,60.0,200.0,2009年第2四半期,改装済,,6.778151250383644
6005539,中古マンション等,,6201,山形県,山形市,あこや町,山形,30分?60分,２ＬＤＫ,55,,,,平成14年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2015年第3四半期,未改装,,6.977723605288848
6004880,中古マンション等,,6201,山形県,山形市,小白川町,山形,30分?60分,,70,,,,平成10年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2010年第4四半期,,調停・競売等,7.041392685158225
6015837,中古マンション等,,6201,山形県,山形市,木の実町,山形,9,３ＬＤＫ,75,,,,昭和61年,ＳＲＣ,住宅,,,,,商業地域,80.0,600.0,2013年第1四半期,未改装,,6.968482948553935
6002273,中古マンション等,,6201,山形県,山形市,東原町,山形,23,２ＤＫ,45,,,,平成3年,ＲＣ,住宅,住宅,,,,第２種中高層住居専用地域,60.0,200.0,2017年第2四半期,未改装,,6.681241237375588
6020707,中古マンション等,,6204,山形県,酒田市,日吉町,酒田,24,３ＬＤＫ,65,,,,平成9年,ＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2016年第3四半期,改装済,,6.977723605288848
6003145,中古マンション等,,6201,山形県,山形市,若宮,山形,30分?60分,４ＬＤＫ,125,,,,平成14年,ＳＲＣ,,住宅,,,,準住居地域,60.0,200.0,2022年第1四半期,未改装,,7.380211241711606
6007256,中古マンション等,,6201,山形県,山形市,本町,山形,16,３ＬＤＫ,50,,,,平成4年,ＳＲＣ,住宅,,,,,商業地域,80.0,500.0,2010年第3四半期,未改装,,6.954242509439325
