id,match_date,kick_off_time,section,round,home_team,away_team,venue,weather,temperature,humidity,broadcasters,attendance,month,day_of_week,year,num_broadcasters,hour,have_rain,have_sunny,discomfort,holiday,next_holiday,capacity,address,home_team_season_HomeGame_point,home_team_season_HomeGame_get_score,home_team_season_HomeGame_lost_score,home_team_season_HomeGame_diff_date,home_team_season_HomeGame_Curren3HomeMatch_point_sum,home_team_season_HomeGame_Curren3HomeMatch_point_std,home_team_season_HomeGame_Curren3HomeMatch_get_score_sum,home_team_season_HomeGame_Curren3HomeMatch_get_score_std,home_team_season_HomeGame_Curren3HomeMatch_lost_score_sum,home_team_season_HomeGame_Curren3HomeMatch_lost_score_std,home_team_season_num_match,away_team_season_num_match,home_team_season_point,away_team_season_point,home_team_season_get_score,away_team_season_get_score,home_team_season_lost_score,away_team_season_lost_score,home_team_Curren4match_point_sum,away_team_Curren4match_point_sum,home_team_Curren4match_get_score_sum,away_team_Curren4match_get_score_sum,home_team_Curren4match_lost_score_sum,away_team_Curren4match_lost_score_sum,home_team_before_match_point,away_team_before_match_point,home_team_before_match_get_score,away_team_before_match_get_score,home_team_before_match_lost_score,away_team_before_match_lost_score,home_team_diff_match_date,away_team_diff_match_date,diff_point,diff_score,diff_lost_score,diff_Current4_point_sum,diff_Current4_get_score_sum,diff_Current4_lost_score_sum,home_team_stadium,home_team_address,home_team_capacity,away_team_stadium,away_team_address,away_team_capacity,stadium_distance,accommodation_rate,lightgbm_pred
9190,2006-03-04,16:04,第1節,第1日,2,20,万博記念競技場,晴,8.3,40.0,NHK総合/J SPORTS(録),20916.0,3,5,2006,2,16,0,1,50.5898,0,0,21000,大阪府吹田市千里万博公園5-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,万博記念競技場,大阪府吹田市千里万博公園5-2,21000.0,埼玉スタジアム2002,埼玉県さいたま市緑区美園2丁目1,62010.0,4.315503795939391,0.996,27723.72923933069
9204,2006-03-11,16:06,第2節,第1日,3,10,京都市西京極総合運動公園陸上競技場兼球技場,晴,16.4,50.0,NHK大阪/BS-i/KBS京都(録)/J SPORTS(録),7921.0,3,5,2006,4,16,0,1,60.55199999999999,0,0,20588,京都府京都市右京区西京極新明町29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,1.0,6.0,4.0,0.0,0.0,3.0,1.0,6.0,4.0,0.0,0.0,3.0,1.0,6.0,4.0,0.0,6.0,6.0,-3.0,-5.0,4.0,-3.0,-5.0,4.0,京都市西京極総合運動公園陸上競技場兼球技場,京都府京都市右京区西京極新明町29,20588.0,等々力陸上競技場,神奈川県川崎市中原区等々力1-1,26827.0,3.9830102422425884,0.3847386827278026,13258.524668514214
9207,2006-03-12,15:06,第2節,第2日,0,2,大阪長居スタジアム,曇,10.6,67.0,BS/J SPORTS(録),30561.0,3,6,2006,2,15,0,0,52.33598,0,0,47853,大阪府大阪市東住吉区長居公園1-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,3.0,1.0,7.0,8.0,-1.0,1.0,2.0,-1.0,1.0,2.0,キンチョウスタジアム,大阪府大阪市東住吉区長居公園1-1,17892.0,万博記念競技場,大阪府吹田市千里万博公園5-2,21000.0,0.19577665763578517,0.6386433452448123,24862.917233606506
9216,2006-03-18,19:04,第3節,第1日,2,7,万博記念競技場,雨,9.0,79.0,BS/J SPORTS(録),8388.0,3,5,2006,2,19,1,0,49.3319,0,0,21000,大阪府吹田市千里万博公園5-2,1.0,1.0,1.0,14.0,1.0,0.7071067811865476,1.0,1.0,1.0,1.0,3.0,3.0,4.0,1.0,7.0,1.0,2.0,3.0,4.0,1.0,7.0,1.0,2.0,3.0,3.0,1.0,6.0,1.0,1.0,1.0,6.0,6.0,3.0,6.0,-1.0,3.0,6.0,-1.0,万博記念競技場,大阪府吹田市千里万博公園5-2,21000.0,九州石油ドーム,大分県大分市横尾1351,31997.0,4.205424813695724,0.3994285714285714,12245.938321130425
9220,2006-03-21,15:01,第4節,第1日,13,24,新潟スタジアム,曇,7.3,43.0,新潟テレビ21/J SPORTS(録),37585.0,3,1,2006,2,15,0,0,49.171609999999994,1,0,41684,新潟県新潟市中央区清五郎67-12,3.0,2.0,0.0,10.0,3.0,2.1213203435596424,2.0,2.0,0.0,0.0,4.0,4.0,6.0,2.0,4.0,3.0,7.0,5.0,6.0,2.0,4.0,3.0,7.0,5.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,4.0,1.0,2.0,4.0,1.0,2.0,東北電力ビッグスワンスタジアム,新潟県新潟市中央区清五郎67-12,41684.0,ヤマハスタジアム(磐田),静岡県磐田市新貝2500,15165.0,3.372767651004065,0.9016649073985222,31925.17548215961
9222,2006-03-21,15:04,第4節,第1日,7,19,九州石油ドーム,曇時々晴,13.4,50.0,J SPORTS,17341.0,3,1,2006,1,15,0,0,56.637,1,0,31997,大分県大分市横尾1351,1.0,1.0,1.0,9.0,1.0,0.7071067811865476,1.0,1.0,1.0,1.0,4.0,4.0,4.0,9.0,4.0,10.0,4.0,2.0,4.0,9.0,4.0,10.0,4.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,-5.0,-6.0,2.0,-5.0,-6.0,2.0,九州石油ドーム,大分県大分市横尾1351,31997.0,日産スタジアム,神奈川県横浜市港北区小机町3300,72081.0,8.277535827552878,0.5419570584742319,18562.683775287795
9223,2006-03-21,16:04,第4節,第1日,10,1,等々力陸上競技場,晴,16.4,24.0,BS-i/J SPORTS(録),14191.0,3,1,2006,2,16,0,1,60.04863999999999,1,0,26827,神奈川県川崎市中原区等々力1-1,3.0,6.0,0.0,16.0,3.0,2.1213203435596424,6.0,6.0,0.0,0.0,4.0,4.0,6.0,3.0,13.0,2.0,3.0,3.0,6.0,3.0,13.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,11.0,0.0,3.0,11.0,0.0,等々力陸上競技場,神奈川県川崎市中原区等々力1-1,26827.0,味の素スタジアム,東京都調布市西町376-3,48999.0,0.1480818776224905,0.5289819957505498,21017.21875382551
9234,2006-03-26,16:04,第5節,第2日,1,3,味の素スタジアム,曇,16.1,38.0,BS/KBS京都(録)/J SPORTS(録),17033.0,3,6,2006,3,16,0,0,59.96382,0,0,48999,東京都調布市西町376-3,3.0,2.0,1.0,8.0,3.0,1.7320508075688772,2.0,2.0,1.0,1.0,5.0,5.0,4.0,2.0,4.0,6.0,5.0,14.0,4.0,2.0,4.0,6.0,5.0,14.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,5.0,2.0,-2.0,-9.0,2.0,-2.0,-9.0,味の素スタジアム,東京都調布市西町376-3,48999.0,京都市西京極総合運動公園陸上競技場兼球技場,京都府京都市右京区西京極新明町29,20588.0,3.871626119463232,0.34761933917018717,17969.716860835797
9235,2006-04-01,15:02,第6節,第1日,19,1,日産スタジアム,晴,13.8,46.0,スカイパーフェクTV!/J SPORTS(録),20977.0,4,5,2006,2,15,0,1,57.18452,0,0,72081,神奈川県横浜市港北区小机町3300,6.0,8.0,5.0,7.0,6.0,1.7320508075688772,8.0,8.0,5.0,5.0,6.0,6.0,12.0,7.0,13.0,6.0,6.0,6.0,9.0,4.0,9.0,4.0,5.0,6.0,0.0,3.0,1.0,2.0,3.0,1.0,7.0,6.0,5.0,7.0,0.0,5.0,5.0,-1.0,日産スタジアム,神奈川県横浜市港北区小机町3300,72081.0,味の素スタジアム,東京都調布市西町376-3,48999.0,0.1733976890276431,0.29101982491918815,23447.924470876158
9241,2006-04-02,15:04,第6節,第2日,13,11,新潟スタジアム,雨,10.5,71.0,NHK新潟/J SPORTS(録),34071.0,4,6,2006,2,15,0,0,52.03245,0,0,41684,新潟県新潟市中央区清五郎67-12,3.0,2.0,2.0,12.0,3.0,1.7320508075688772,2.0,2.0,2.0,2.0,6.0,6.0,6.0,2.0,5.0,8.0,12.0,14.0,6.0,2.0,5.0,5.0,6.0,10.0,0.0,0.0,1.0,1.0,3.0,3.0,8.0,8.0,4.0,-3.0,-2.0,4.0,0.0,-4.0,東北電力ビッグスワンスタジアム,新潟県新潟市中央区清五郎67-12,41684.0,広島ビッグアーチ,広島県広島市安佐南区大塚西5丁目1−1,36894.0,7.501852545391239,0.8173639765857403,30547.219105417746
