iter	RMSE
0	9239.383591
1	9018.155052
2	8813.733074
3	8611.263823
4	8435.215154
5	8265.890978
6	8114.044977
7	7958.388415
8	7797.590493
9	7685.610339
10	7569.517165
11	7454.881336
12	7329.539961
13	7221.613178
14	7123.937587
15	7042.666212
16	6949.821307
17	6867.165482
18	6786.704957
19	6722.756872
20	6658.031218
21	6594.163193
22	6534.873156
23	6475.192
24	6415.100042
25	6369.88209
26	6320.672217
27	6271.783273
28	6212.260297
29	6172.214827
30	6135.309584
31	6076.909557
32	6053.059375
33	6022.232334
34	5987.941729
35	5946.275555
36	5914.238957
37	5873.817757
38	5842.240569
39	5815.98151
40	5794.220373
41	5754.298595
42	5719.536304
43	5691.206071
44	5666.038427
45	5636.838663
46	5614.867483
47	5595.043275
48	5576.665511
49	5555.398936
50	5536.774791
51	5506.846876
52	5486.762364
53	5468.187517
54	5453.544679
55	5430.345816
56	5411.833429
57	5393.324442
58	5376.472553
59	5366.294095
60	5347.296049
61	5339.674204
62	5330.366342
63	5311.614188
64	5290.387692
65	5274.679151
66	5258.007748
67	5245.597474
68	5230.610965
69	5222.932575
70	5203.910004
71	5189.684648
72	5178.655438
73	5171.509824
74	5152.204792
75	5142.742903
76	5120.597053
77	5109.158306
78	5101.596761
79	5088.158319
80	5073.392042
81	5057.844004
82	5045.89968
83	5025.655106
84	5017.875656
85	5006.19127
86	4994.859166
87	4986.620281
88	4978.866523
89	4959.79194
90	4947.227855
91	4939.635466
92	4928.367596
93	4910.524666
94	4902.129705
95	4895.722758
96	4878.900466
97	4870.801159
98	4861.193592
99	4853.197457
100	4837.993617
101	4827.341616
102	4817.876999
103	4809.133548
104	4800.224296
105	4785.829078
106	4767.466207
107	4756.017693
108	4747.521475
109	4736.74137
110	4725.615603
111	4720.215467
112	4710.81072
113	4703.760563
114	4697.939263
115	4690.271772
116	4681.761588
117	4674.845542
118	4669.454635
119	4658.77283
120	4649.309879
121	4642.742906
122	4636.708916
123	4628.384493
124	4623.113756
125	4613.613452
126	4605.857982
127	4601.490103
128	4596.523917
129	4585.924598
130	4574.36289
131	4563.730523
132	4557.561458
133	4549.116717
134	4539.597532
135	4536.525699
136	4531.246734
137	4525.069738
138	4520.303851
139	4504.753127
140	4497.042839
141	4488.827997
142	4483.384001
143	4473.472603
144	4465.920069
145	4458.657713
146	4455.226587
147	4439.7358
148	4427.189993
149	4422.349541
150	4414.398527
151	4407.4153
152	4401.759675
153	4396.46303
154	4381.026011
155	4375.888586
156	4364.520551
157	4357.137527
158	4347.507822
159	4339.927202
160	4334.304645
161	4324.613723
162	4319.832786
163	4310.116927
164	4304.100923
165	4296.761029
166	4291.998707
167	4286.473199
168	4280.310915
169	4272.397375
170	4260.678488
171	4249.454977
172	4240.990699
173	4233.010146
174	4225.333545
175	4212.780703
176	4207.593645
177	4189.35938
178	4183.666771
179	4175.557235
180	4168.635666
181	4158.430905
182	4151.987919
183	4145.540949
184	4139.143747
185	4131.019461
186	4125.773397
187	4112.173169
188	4102.117393
189	4095.544719
190	4089.94041
191	4082.563167
192	4077.248116
193	4076.371058
194	4067.437382
195	4058.58799
196	4050.872501
197	4043.245144
198	4035.835471
199	4029.464645
200	4018.696754
201	4015.321103
202	4008.98613
203	4000.861433
204	3996.910841
205	3988.493587
206	3976.907765
207	3969.484877
208	3960.261768
209	3955.425806
210	3949.698438
211	3942.870676
212	3936.009584
213	3935.422615
214	3927.85806
215	3922.984936
216	3915.390173
217	3909.043166
218	3905.67797
219	3904.973567
220	3898.38069
221	3893.018395
222	3887.826631
223	3884.519746
224	3876.184161
225	3871.72411
226	3865.809627
227	3858.266522
228	3851.916224
229	3844.679362
230	3839.037451
231	3833.411596
232	3827.521476
233	3822.680405
234	3815.968973
235	3809.401096
236	3808.414179
237	3802.903294
238	3797.453009
239	3793.846279
240	3790.961995
241	3786.305499
242	3784.532255
243	3776.89841
244	3776.03531
245	3771.547175
246	3768.293012
247	3761.909534
248	3761.381668
249	3755.366175
250	3750.096979
251	3742.266599
252	3737.309332
253	3731.709745
254	3728.053526
255	3723.08177
256	3713.116313
257	3707.846036
258	3702.81407
259	3696.715337
260	3691.560909
261	3681.56709
262	3672.331309
263	3669.418268
264	3669.003678
265	3665.038227
266	3658.323626
267	3657.57058
268	3651.93332
269	3647.765582
270	3640.545044
271	3635.214863
272	3630.386395
273	3626.123748
274	3622.981704
275	3612.21949
276	3604.990733
277	3599.832577
278	3596.144592
279	3591.134303
280	3586.07077
281	3581.687818
282	3578.957012
283	3575.228317
284	3574.518962
285	3569.502211
286	3562.819639
287	3558.05723
288	3554.445133
289	3553.746435
290	3546.550455
291	3540.075712
292	3536.011071
293	3532.365692
294	3527.829425
295	3525.746961
296	3518.213399
297	3513.43272
298	3508.502958
299	3503.328225
300	3499.872682
301	3495.579321
302	3490.313477
303	3485.916326
304	3480.351133
305	3475.609367
306	3470.37355
307	3469.445409
308	3466.293517
309	3462.303985
310	3457.281274
311	3457.045466
312	3451.316931
313	3447.2103
314	3442.211407
315	3437.601163
316	3433.304955
317	3432.899998
318	3428.945588
319	3425.89385
320	3425.490831
321	3421.593993
322	3418.501288
323	3414.178786
324	3413.909534
325	3406.695662
326	3402.791027
327	3397.685989
328	3393.112265
329	3392.755794
330	3389.871197
331	3385.301357
332	3381.312016
333	3378.184001
334	3375.61226
335	3375.258483
336	3371.859506
337	3369.457813
338	3363.464569
339	3358.743341
340	3356.289241
341	3352.783499
342	3347.635032
343	3343.16322
344	3338.877207
345	3334.388263
346	3330.173195
347	3323.46716
348	3320.041252
349	3315.63966
350	3313.740694
351	3309.622234
352	3305.243732
353	3302.215601
354	3299.88218
355	3298.107415
356	3292.904827
357	3289.917728
358	3285.567482
359	3279.981646
360	3275.327751
361	3272.28761
362	3265.995211
363	3262.616467
364	3259.194227
365	3254.721522
366	3252.185781
367	3248.204912
368	3245.668309
369	3241.474852
370	3238.102742
371	3234.708305
372	3230.762698
373	3226.63291
374	3223.841626
375	3220.355004
376	3218.211368
377	3215.992607
378	3208.207785
379	3202.896887
380	3200.794426
381	3200.169854
382	3196.558971
383	3194.168066
384	3191.360998
385	3186.906456
386	3182.926096
387	3182.709891
388	3178.879008
389	3173.264859
390	3168.541977
391	3163.268585
392	3159.243153
393	3155.86399
394	3154.655627
395	3151.48563
396	3147.383209
397	3145.263716
398	3141.175812
399	3138.795649
400	3136.036274
401	3131.732699
402	3127.350302
403	3123.915626
404	3121.123719
405	3118.209392
406	3115.087692
407	3109.411445
408	3104.133872
409	3101.384015
410	3097.651124
411	3094.357612
412	3088.130115
413	3086.570096
414	3081.430837
415	3076.736006
416	3073.049368
417	3069.523628
418	3065.909102
419	3064.597244
420	3062.369846
421	3058.928807
422	3055.191074
423	3053.158939
424	3049.431289
425	3047.860287
426	3045.7299
427	3040.538965
428	3036.02694
429	3032.672225
430	3029.793903
431	3026.661909
432	3022.173
433	3019.57895
434	3017.363254
435	3015.12007
436	3011.56998
437	3007.10381
438	3003.810117
439	3000.340254
440	2997.547363
441	2994.92614
442	2991.874289
443	2987.895554
444	2984.212285
445	2981.676614
446	2978.022467
447	2971.862333
448	2968.452259
449	2967.166046
450	2966.445851
451	2962.237503
452	2959.042208
453	2955.493789
454	2952.340506
455	2950.190382
456	2945.837994
457	2945.554273
458	2942.448006
459	2938.426122
460	2936.698312
461	2932.101718
462	2929.787978
463	2926.494885
464	2922.941171
465	2920.469532
466	2915.906393
467	2912.091315
468	2909.960289
469	2904.706431
470	2902.468522
471	2900.404914
472	2896.302174
473	2892.398862
474	2888.731274
475	2885.303062
476	2883.971243
477	2879.744325
478	2876.230515
479	2876.083443
480	2874.8903
481	2871.696569
482	2867.617282
483	2865.320018
484	2865.074772
485	2863.121306
486	2861.234948
487	2859.977539
488	2855.472751
489	2855.333748
490	2852.223431
491	2850.249883
492	2846.765914
493	2844.902207
494	2842.783803
495	2840.277797
496	2836.678584
497	2831.970229
498	2828.535068
499	2826.633231
500	2823.907986
501	2820.50373
502	2817.084414
503	2816.804194
504	2812.151294
505	2808.75147
506	2806.386094
507	2802.392015
508	2800.99364
509	2797.144361
510	2794.413015
511	2791.584283
512	2787.446682
513	2783.653662
514	2783.080271
515	2778.915143
516	2775.853528
517	2772.139107
518	2769.136367
519	2766.250803
520	2762.432729
521	2759.606274
522	2757.504474
523	2753.775062
524	2751.021191
525	2747.990708
526	2746.574997
527	2744.488683
528	2741.301594
529	2738.611431
530	2736.830109
531	2732.723521
532	2730.671323
533	2728.796672
534	2728.227143
535	2725.083989
536	2722.526666
537	2720.631035
538	2717.744472
539	2716.95563
540	2715.29268
541	2711.456175
542	2708.86026
543	2705.303715
544	2701.90102
545	2699.857083
546	2697.144269
547	2696.084864
548	2694.098196
549	2691.809863
550	2687.652043
551	2685.350192
552	2682.909419
553	2681.831896
554	2679.281216
555	2676.646412
556	2673.132476
557	2669.564304
558	2666.937622
559	2665.147139
560	2662.131978
561	2658.90728
562	2656.727729
563	2653.73243
564	2649.717733
565	2646.07659
566	2643.586498
567	2643.191432
568	2640.185707
569	2637.410458
570	2633.841242
571	2631.543146
572	2629.441064
573	2627.283415
574	2626.841822
575	2626.374554
576	2622.753295
577	2620.806092
578	2618.128104
579	2616.789482
580	2613.504474
581	2613.31662
582	2611.115582
583	2607.999394
584	2604.712337
585	2600.665735
586	2597.721754
587	2594.848597
588	2591.193817
589	2588.706318
590	2588.588171
591	2585.672324
592	2583.441016
593	2581.895719
594	2581.133737
595	2577.787696
596	2576.104376
597	2573.977558
598	2571.248727
599	2569.786732
600	2569.67384
601	2567.328822
602	2567.220892
603	2565.049137
604	2562.601067
605	2560.413919
606	2558.206554
607	2555.980508
608	2554.664711
609	2551.941323
610	2548.523033
611	2546.054808
612	2544.161211
613	2543.158099
614	2539.55988
615	2537.37684
616	2535.083808
617	2532.681673
618	2529.959924
619	2528.386762
620	2525.138847
621	2521.147322
622	2517.272385
623	2513.954199
624	2512.379107
625	2509.86278
626	2508.780527
627	2506.390943
628	2503.730666
629	2499.568067
630	2496.411351
631	2495.076169
632	2492.472592
633	2489.284692
634	2488.643197
635	2485.859809
636	2485.566563
637	2483.473972
638	2482.913254
639	2482.826061
640	2478.876376
641	2477.955662
642	2475.663617
643	2475.347668
644	2472.629176
